2024-11-25 18:09:49,135 [DEBUG] org.apache.http.impl.conn.BasicClientConnectionManager  - Get connection for route {}->http://localhost:3000
2024-11-25 18:09:49,154 [DEBUG] org.apache.http.impl.conn.DefaultClientConnectionOperator  - Connecting to localhost:3000
2024-11-25 18:09:49,174 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: ignoreCookies
2024-11-25 18:09:49,176 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2024-11-25 18:09:49,176 [DEBUG] org.apache.http.client.protocol.RequestTargetAuthentication  - Target auth state: UNCHALLENGED
2024-11-25 18:09:49,176 [DEBUG] org.apache.http.client.protocol.RequestProxyAuthentication  - Proxy auth state: UNCHALLENGED
2024-11-25 18:09:49,176 [DEBUG] org.apache.http.impl.client.DefaultHttpClient  - Attempt 1 to execute request
2024-11-25 18:09:49,176 [DEBUG] org.apache.http.impl.conn.DefaultClientConnection  - Sending request: GET /APIbatchfolks/ HTTP/1.1
2024-11-25 18:09:49,176 [DEBUG] org.apache.http.wire  -  >> "GET /APIbatchfolks/ HTTP/1.1[\r][\n]"
2024-11-25 18:09:49,177 [DEBUG] org.apache.http.wire  -  >> "Content-Type: application/json[\r][\n]"
2024-11-25 18:09:49,177 [DEBUG] org.apache.http.wire  -  >> "Accept: */*[\r][\n]"
2024-11-25 18:09:49,177 [DEBUG] org.apache.http.wire  -  >> "Host: localhost:3000[\r][\n]"
2024-11-25 18:09:49,177 [DEBUG] org.apache.http.wire  -  >> "Connection: Keep-Alive[\r][\n]"
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.wire  -  >> "User-Agent: Apache-HttpClient/4.5.13 (Java/23)[\r][\n]"
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.wire  -  >> "Accept-Encoding: gzip,deflate[\r][\n]"
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.wire  -  >> "[\r][\n]"
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.headers  - >> GET /APIbatchfolks/ HTTP/1.1
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.headers  - >> Content-Type: application/json
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.headers  - >> Accept: */*
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.headers  - >> Host: localhost:3000
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.headers  - >> Connection: Keep-Alive
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.headers  - >> User-Agent: Apache-HttpClient/4.5.13 (Java/23)
2024-11-25 18:09:49,178 [DEBUG] org.apache.http.headers  - >> Accept-Encoding: gzip,deflate
2024-11-25 18:09:49,213 [DEBUG] org.apache.http.wire  -  << "HTTP/1.1 200 OK[\r][\n]"
2024-11-25 18:09:49,215 [DEBUG] org.apache.http.wire  -  << "X-Powered-By: tinyhttp[\r][\n]"
2024-11-25 18:09:49,215 [DEBUG] org.apache.http.wire  -  << "Access-Control-Allow-Origin: *[\r][\n]"
2024-11-25 18:09:49,215 [DEBUG] org.apache.http.wire  -  << "Access-Control-Allow-Methods: GET, HEAD, PUT, PATCH, POST, DELETE[\r][\n]"
2024-11-25 18:09:49,215 [DEBUG] org.apache.http.wire  -  << "Access-Control-Allow-Headers: content-type[\r][\n]"
2024-11-25 18:09:49,215 [DEBUG] org.apache.http.wire  -  << "Content-Type: application/json[\r][\n]"
2024-11-25 18:09:49,216 [DEBUG] org.apache.http.wire  -  << "Date: Mon, 25 Nov 2024 12:39:49 GMT[\r][\n]"
2024-11-25 18:09:49,216 [DEBUG] org.apache.http.wire  -  << "Connection: keep-alive[\r][\n]"
2024-11-25 18:09:49,216 [DEBUG] org.apache.http.wire  -  << "Keep-Alive: timeout=5[\r][\n]"
2024-11-25 18:09:49,216 [DEBUG] org.apache.http.wire  -  << "Content-Length: 5212[\r][\n]"
2024-11-25 18:09:49,216 [DEBUG] org.apache.http.wire  -  << "[\r][\n]"
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.impl.conn.DefaultClientConnection  - Receiving response: HTTP/1.1 200 OK
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << HTTP/1.1 200 OK
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << X-Powered-By: tinyhttp
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Access-Control-Allow-Origin: *
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Access-Control-Allow-Methods: GET, HEAD, PUT, PATCH, POST, DELETE
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Access-Control-Allow-Headers: content-type
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Content-Type: application/json
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Date: Mon, 25 Nov 2024 12:39:49 GMT
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Connection: keep-alive
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Keep-Alive: timeout=5
2024-11-25 18:09:49,217 [DEBUG] org.apache.http.headers  - << Content-Length: 5212
2024-11-25 18:09:49,225 [DEBUG] org.apache.http.impl.client.DefaultHttpClient  - Connection can be kept alive for 5000 MILLISECONDS
2024-11-25 18:09:49,243 [DEBUG] io.restassured.internal.RestAssuredHttpBuilder  - Parsing response as: application/json
2024-11-25 18:09:49,243 [DEBUG] io.restassured.internal.RestAssuredHttpBuilder  - Parsed data to instance of: class org.apache.http.conn.EofSensorInputStream
2024-11-25 18:09:49,299 [DEBUG] org.apache.http.wire  -  << "[[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "    "id": "{{id}}",[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "    " Address": [[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "Type": "Primary Address",[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "      },[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "Type": "secondary address",[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "      }[\n]"
2024-11-25 18:09:49,306 [DEBUG] org.apache.http.wire  -  << "    ],[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    "firstname": "{{firstname}}",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    "designation": "TL",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    "lastname": "{{lastname}}"[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "  },[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "  {[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    "id": "{{id}}",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    " Address": [[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "Type": "Primary Address",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "      },[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "Type": "secondary address",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "      }[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    ],[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    "firstname": "{{firstname}}",[\n]"
2024-11-25 18:09:49,307 [DEBUG] org.apache.http.wire  -  << "    "designation": "TL",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "lastname": "{{lastname}}"[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "  },[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "  {[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "id": "sunny",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "firstname": "sunny",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "lastname": "deol",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "designation": "TL"[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "  },[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "  {[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "id": "111",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    " Address": [[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "Type": "Primary Address",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "      },[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "Type": "secondary address",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "      }[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    ],[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "firstname": "Kumar",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "designation": "TL",[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "    "lastname": "krishna"[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "  },[\n]"
2024-11-25 18:09:49,308 [DEBUG] org.apache.http.wire  -  << "  {[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "    "id": "123",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "    " Address": [[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "Type": "Primary Address",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "      },[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "      {[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "Type": "secondary address",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "House No": "7876",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "Landmark": "Sector 23 market",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "        "sector": "87"[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "      }[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "    ],[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "    "firstname": "Radhika",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "    "designation": "TL",[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "    "lastname": "Merchant"[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "  }[\n]"
2024-11-25 18:09:49,309 [DEBUG] org.apache.http.wire  -  << "]"
2024-11-25 18:09:49,310 [DEBUG] org.apache.http.impl.conn.BasicClientConnectionManager  - Releasing connection org.apache.http.impl.conn.ManagedClientConnectionImpl@38548b19
2024-11-25 18:09:49,310 [DEBUG] org.apache.http.impl.conn.BasicClientConnectionManager  - Connection can be kept alive for 5000 MILLISECONDS
